Name,TLELine1,TLELine2
SAT-1 ,1 44456U 23001A   51132.33161072  0.00019341 00000-0 81335-6 0 218   2,2 44456 173.5517  72.8803 1159084 230.8529 204.0975 11.18353741  64033
SAT-2 ,1 32077U 23001A   12201.32309677 -0.00002784 00000-0 43521-6 0 135   3,2 32077  47.1707 106.7191 0159604 171.9968 161.9050  5.18578423 114289
SAT-3 ,1 27301U 23001A   75079.54598343  0.00012689 00000-0 17259-4 0 743   9,2 27301   2.4400  59.9294 1180555  71.9839  94.3393 12.35442591  50029
SAT-4 ,1 48610U 23001A   65025.44796321  0.00016003 00000-0 86365-5 0 371   6,2 48610 151.5994 292.2179 1063385 163.5139  89.7476  8.08601651 232600
SAT-5 ,1 99573U 23001A   70220.89998638  0.00010614 00000-0 21761-3 0  62   3,2 99573  12.6461  24.0309 0286088 261.1410 308.3864 10.77353544  36796
SAT-6 ,1 23637U 23001A   46041.72717368 -0.00004051 00000-0 43244-4 0 350   6,2 23637  61.4152 288.8492 1616351  99.3456 188.3948  8.85790159 730904
SAT-7 ,1 77699U 23001A   37283.05227238 -0.00003330 00000-0 16245-3 0 506   1,2 77699 178.4805 180.0438 0025997 278.8715 306.6368  9.97352055 660781
SAT-8 ,1 10551U 23001A   90184.99280180 -0.00006147 00000-0 87674-3 0 466   0,2 10551  20.1156  82.5870 0011664 242.0902   3.5596 12.98133850 625894
SAT-9 ,1 81299U 23001A   40244.79095650  0.00002298 00000-0 67209-5 0 290   4,2 81299 117.1985 269.9224 0823413  28.9459 314.2302 14.30296708 131498
SAT-10,1 22132U 23001A   30082.42816508  0.00003500 00000-0 88988-4 0 818   6,2 22132 141.5616  92.5075 1669176   0.6564 128.1650  8.48072940 797661
